grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
207110,"POLYGON ((20.87498605131241 52.22101981652778, 20.86049156070564 52.22235721837721, 20.86267530245578 52.23122872519174, 20.87717259617578 52.22989101832488, 20.87498605131241 52.22101981652778))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,625,98,478,49,316,309,51,246,19,47,232,30,97.78481012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0
207121,"POLYGON ((20.87061616594652 52.20327721389263, 20.85612728028819 52.20461400442348, 20.85830888639662 52.21348564418059, 20.87280057384098 52.21214854808392, 20.87061616594652 52.20327721389263))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,685,88,478,119,320,365,40,228,52,48,250,67,114.0625,1.0,0.0,1.0,14.0,2.0,16.0,5.0,6.0,18.0,0.0
207149,"POLYGON ((20.89250842500603 52.29198757603795, 20.87799146666601 52.29332742783289, 20.88018378103267 52.3021984073102, 20.89470355202717 52.30085824812348, 20.89250842500603 52.29198757603795))",0.0,0.0,0.0,2.0,0.0,0.0,0.0,888,124,652,112,427,461,61,323,43,63,329,69,107.96252927,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0
207150,"POLYGON ((20.89470355202717 52.30085824812348, 20.88018378103267 52.3021984073102, 20.88237716995884 52.31106932077907, 20.8968997564966 52.30972885488806, 20.89470355202717 52.30085824812348))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,24,137,43,94,110,13,67,14,11,70,29,117.02127659,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,2.0,0.0
207175,"POLYGON ((20.87717259617578 52.22989101832488, 20.86267530245578 52.23122872519174, 20.86486011400347 52.24010016725067, 20.87936021213869 52.23876215338165, 20.87717259617578 52.22989101832488))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207190,"POLYGON ((20.89031437167662 52.28311683782704, 20.87580022757719 52.28445638326996, 20.87799146666601 52.29332742783289, 20.89250842500603 52.29198757603795, 20.89031437167662 52.28311683782704))",1.0,0.0,0.0,0.0,1.0,0.0,0.0,521,102,358,61,262,259,47,185,30,55,173,31,98.85496183,0.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,14.0,2.0
207191,"POLYGON ((20.89909703765856 52.31859939451008, 20.8845716342306 52.31994016819216, 20.8867671745964 52.32881094860331, 20.90129539780605 52.3274698678173, 20.89909703765856 52.31859939451008))",1.0,0.0,0.0,0.0,1.0,1.0,0.0,1052,166,765,121,527,525,99,369,59,67,396,62,99.62049335,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,12.0,0.0
207202,"POLYGON ((20.88373865767594 52.25650422582861, 20.86923294499641 52.25784285158997, 20.87142096750687 52.26671409465191, 20.88592948881526 52.2653751631245, 20.88373865767594 52.25650422582861))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,7,59,3,42,27,5,36,3,0,23,3,64.28571428,0.0,0.0,0.0,1.0,0.0,2.0,16.0,2.0,4.0,0.0
207259,"POLYGON ((20.88154890002095 52.24763322254971, 20.86704599459008 52.24897154273242, 20.86923294499641 52.25784285158997, 20.88373865767594 52.25650422582861, 20.88154890002095 52.24763322254971))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609,214,980,415,732,877,103,438,191,111,542,224,119.80874316,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,26.0,0.0
207301,"POLYGON ((20.88592948881526 52.2653751631245, 20.87142096750687 52.26671409465191, 20.87361006143941 52.27558527189428, 20.88812139418488 52.27424603349116, 20.88592948881526 52.2653751631245))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
207355,"POLYGON ((20.86625055419452 52.18553434578261, 20.85176726655831 52.18687052666358, 20.85394674013865 52.19574229917577, 20.86843282681146 52.19440581310215, 20.86625055419452 52.18553434578261))",1.0,0.0,0.0,3.0,2.0,1.0,0.0,5944,791,4097,1056,2806,3138,403,1930,473,388,2167,583,111.83178902,4.0,1.0,1.0,0.0,11.0,13.0,23.0,14.0,32.0,0.0
