operator,geometry
dpd,POINT (16.3127 51.81075999999999)
dpd,POINT (22.97794 53.84316999999999)
dpd,POINT (19.63423 50.13634)
dpd,POINT (23.5018 53.4056)
dpd,POINT (18.53278 54.35066999999999)
dpd,POINT (17.50112 51.95767)
dpd,POINT (19.94956 50.09194)
dpd,POINT (20.97844 52.24179)
dpd,POINT (18.79205 51.97605)
dpd,POINT (16.39286 52.71144)
dpd,POINT (21.02671 52.07045)
dpd,POINT (23.14425 53.11233000000001)
dpd,POINT (15.25834 52.76051)
dpd,POINT (23.46572 51.13006)
dpd,POINT (17.161 54.3755)
dpd,POINT (20.84437 52.2401)
dpd,POINT (18.90623 50.25412)
dpd,POINT (17.34467 51.03566)
dpd,POINT (23.11607 53.15411999999999)
dpd,POINT (20.01424 50.08643)
dpd,POINT (22.90056 51.64057)
dpd,POINT (17.87031 51.97576)
dpd,POINT (14.63428 53.38189000000001)
dpd,POINT (16.0518 52.1552)
dpd,POINT (23.6064 53.03317)
dpd,POINT (16.88967 54.23989)
dpd,POINT (14.5304 53.43600000000001)
dpd,POINT (15.78229 52.47609)
dpd,POINT (20.45048 49.96514000000001)
dpd,POINT (21.08791 50.98155)
dpd,POINT (18.25627 51.59397)
dpd,POINT (22.29614 52.17228)
dpd,POINT (19.26613 50.75064)
dpd,POINT (15.75761 50.91352)
dpd,POINT (20.88069 52.20492)
dpd,POINT (18.8683 50.27217)
dpd,POINT (16.81946 51.96179)
dpd,POINT (17.57883 50.32228)
dpd,POINT (18.74947 53.48405)
dpd,POINT (22.74441 50.82205)
dpd,POINT (19.52025 51.67434)
dpd,POINT (18.54969 50.06954)
dpd,POINT (21.07163 52.28182)
dpd,POINT (17.94692 50.67472)
dpd,POINT (22.52225 51.26419)
dpd,POINT (22.68201 53.34358)
dpd,POINT (20.66917 52.12406)
dpd,POINT (17.03365 54.4701)
dpd,POINT (20.59446 49.57748)
dpd,POINT (18.50594 54.33673)
dpd,POINT (21.04624 52.20335)
dpd,POINT (22.447 49.41482)
dpd,POINT (18.6068 54.34904)
dpd,POINT (16.4033 54.4237)
dpd,POINT (18.70058 53.0468)
dpd,POINT (22.05456 53.16783)
dpd,POINT (21.60973 53.09896999999999)
dpd,POINT (20.25081 50.94957)
dpd,POINT (19.18941 49.68274)
dpd,POINT (21.21638 51.98007)
dpd,POINT (19.7398 51.4059)
dpd,POINT (17.95998 54.81507)
dpd,POINT (17.11107 51.10641)
dpd,POINT (20.24485 53.92658)
dpd,POINT (21.05816 52.14395)
dpd,POINT (17.81289 52.31571)
dpd,POINT (21.1673 51.3989)
dpd,POINT (18.67166 50.29628)
dpd,POINT (18.07801 51.76191)
dpd,POINT (19.70634 52.551)
dpd,POINT (21.98496 50.02343)
dpd,POINT (16.86698 52.37321)
dpd,POINT (19.10203 49.66716)
dpd,POINT (21.42955 50.08133)
dpd,POINT (20.04858 49.48404)
dpd,POINT (19.95431 52.11843)
dpd,POINT (22.84176 52.74844)
dpd,POINT (21.87974 51.14286)
dpd,POINT (20.80902 50.80311)
dpd,POINT (17.55863 52.07386)
dpd,POINT (17.75721 54.39998000000001)
dpd,POINT (17.69494 51.78718)
dpd,POINT (19.895 50.145)
dpd,POINT (16.7094 51.2604)
dpd,POINT (18.59986 54.38143)
dpd,POINT (19.46635 51.76565)
dpd,POINT (19.35782 51.66499)
dpd,POINT (20.58167 54.1262)
dpd,POINT (16.95257 52.39178)
dpd,POINT (17.96473 53.11709)
dpd,POINT (23.17992 54.2512)
dpd,POINT (15.77601 53.77491999999999)
dpd,POINT (14.38901 53.48741)
dpd,POINT (20.63333 52.10828)
dpd,POINT (16.17088 52.89353000000001)
dpd,POINT (15.98471 54.00599)
dpd,POINT (19.113 50.2422)
dpd,POINT (21.08211 52.17049)
dpd,POINT (21.06233 52.28661)
dpd,POINT (19.7009 52.54442)
dpd,POINT (20.72 52.431)
dpd,POINT (20.88179 52.34263)
dpd,POINT (18.6071 54.4003)
dpd,POINT (17.06616 50.78244)
dpd,POINT (19.44877 51.77139)
dpd,POINT (21.01402 52.21312)
dpd,POINT (18.5406 54.4842)
dpd,POINT (18.6143 54.3496)
dpd,POINT (18.61229 51.98488)
dpd,POINT (18.2245 54.60193)
dpd,POINT (18.609 53.0187)
dpd,POINT (21.08574 52.24323)
dpd,POINT (20.9744 49.80018)
dpd,POINT (17.61836 53.69381)
dpd,POINT (19.40371 53.25584)
dpd,POINT (22.97449 50.88051)
dpd,POINT (16.0719 51.65486)
dpd,POINT (19.04418 50.2669)
dpd,POINT (22.55435 51.26797)
dpd,POINT (18.88905 50.17172)
dpd,POINT (22.55656 51.24593)
dpd,POINT (18.75544 53.49479)
dpd,POINT (21.97573 51.40202)
dpd,POINT (16.8942 52.45967)
dpd,POINT (18.5833 53.0121)
dpd,POINT (22.72265 50.54349000000001)
dpd,POINT (17.81469 51.64903)
dpd,POINT (20.61777 50.86635)
dpd,POINT (18.54137 50.1705)
dpd,POINT (20.86033 51.11456)
dpd,POINT (21.16135 52.26019)
dpd,POINT (16.89374 52.41317)
dpd,POINT (19.60917 53.84453000000001)
dpd,POINT (16.95118 52.39953)
dpd,POINT (18.60142 54.32244)
dpd,POINT (22.54383 52.87023000000001)
dpd,POINT (19.99732 51.54478)
dpd,POINT (19.99944 50.03556)
dpd,POINT (20.82077 52.58868)
dpd,POINT (18.97507 51.69107)
dpd,POINT (20.47165 52.68968)
dpd,POINT (18.5295 53.9726)
dpd,POINT (18.77282 53.49910999999999)
dpd,POINT (21.37714 50.92018)
dpd,POINT (18.06532 51.73224)
dpd,POINT (21.0487 52.20302)
dpd,POINT (18.5932 54.3595)
dpd,POINT (21.02106 52.20737)
dpd,POINT (22.52808 51.23791)
dpd,POINT (19.6802 50.77175)
dpd,POINT (21.0089 52.22901)
dpd,POINT (19.33998 52.22496)
dpd,POINT (20.7294 50.4687)
dpd,POINT (19.00963 50.72703)
dpd,POINT (16.85198 51.62223)
dpd,POINT (19.95059 50.08112)
dpd,POINT (17.2419 51.917)
dpd,POINT (18.76174 53.48307)
dpd,POINT (21.45709 52.59417)
dpd,POINT (17.55478 54.76166)
dpd,POINT (18.92678 53.73618)
dpd,POINT (22.32897 49.47043)
dpd,POINT (15.09506 52.05589000000001)
dpd,POINT (14.82822 53.56323)
dpd,POINT (18.60383 54.09976999999999)
dpd,POINT (17.97512 54.16676)
dpd,POINT (22.66912 50.67290999999999)
dpd,POINT (18.15264 50.70296)
dpd,POINT (19.17296 50.95362)
dpd,POINT (18.98208 50.92832)
dpd,POINT (21.18325 51.37939)
dpd,POINT (18.25602 52.21086)
dpd,POINT (18.56426 54.17216)
dpd,POINT (17.93857 53.13191999999999)
dpd,POINT (21.34798 54.22146)
dpd,POINT (18.83024 54.09755999999999)
dpd,POINT (17.62623 50.33556)
dpd,POINT (17.37842 51.64692)
dpd,POINT (18.56135 50.09824)
dpd,POINT (21.94412 49.72926)
dpd,POINT (18.91826 54.01421999999999)
dpd,POINT (22.51232 51.24737)
dpd,POINT (19.09127 50.06107)
dpd,POINT (18.72474 51.80304)
dpd,POINT (19.93825 50.05761)
dpd,POINT (21.02546 52.2597)
dpd,POINT (21.26635 52.10235)
dpd,POINT (20.37144 52.93431999999999)
dpd,POINT (19.82096 50.6258)
dpd,POINT (14.894 52.6756)
dpd,POINT (18.4026 54.7945)
dpd,POINT (19.20489 52.05853)
dpd,POINT (19.23554 50.01224000000001)
dpd,POINT (17.90448 51.28544)
dpd,POINT (18.53147 52.6275)
dpd,POINT (22.65517 54.25133)
dpd,POINT (15.27624 52.71437)
dpd,POINT (21.05714 49.90349000000001)
dpd,POINT (20.89558 51.46529)
dpd,POINT (20.72101 49.60267)
dpd,POINT (18.68675 50.27012)
dpd,POINT (16.85024 52.24478)
dpd,POINT (20.58162 50.88597)
dpd,POINT (19.48642 51.74914)
dpd,POINT (20.48853 54.28328)
dpd,POINT (20.42408 49.97846)
dpd,POINT (18.57835 49.94237)
dpd,POINT (20.5087 53.74248000000001)
dpd,POINT (18.19002 54.47818)
dpd,POINT (18.07802 51.75899999999999)
dpd,POINT (19.88089 51.36589)
dpd,POINT (19.82138 51.37304)
dpd,POINT (20.84845 52.2537)
dpd,POINT (16.89298 52.41528)
dpd,POINT (18.87156 50.27497)
dpd,POINT (21.05527 52.24698)
dpd,POINT (21.98071 50.12057)
dpd,POINT (22.71765 52.21074)
dpd,POINT (21.05069 52.29194)
dpd,POINT (22.34249 50.31695999999999)
dpd,POINT (16.55627 50.54394)
dpd,POINT (17.05984 51.30795)
dpd,POINT (18.77494 53.50098000000001)
dpd,POINT (20.91425 52.25139)
dpd,POINT (17.26731 51.52242)
dpd,POINT (22.0643 50.58573)
dpd,POINT (18.1649 51.2978)
dpd,POINT (17.37092 51.21894)
dpd,POINT (17.06463 51.31114)
dpd,POINT (18.67822 50.67899)
dpd,POINT (20.89579 49.35488)
dpd,POINT (19.44179 54.15493000000001)
dpd,POINT (18.2006 54.1325)
dpd,POINT (19.86302 50.08193)
dpd,POINT (22.45644 52.34339)
dpd,POINT (19.96122 50.09249000000001)
dpd,POINT (18.58664 54.41225)
dpd,POINT (18.59017 54.38930999999999)
dpd,POINT (18.58961 54.27788)
dpd,POINT (20.63198 50.86824)
dpd,POINT (22.44403 51.63933)
dpd,POINT (19.38651 53.26233000000001)
dpd,POINT (18.27107 51.00356)
dpd,POINT (22.80233 49.75477)
dpd,POINT (14.51494 53.43199)
dpd,POINT (19.26367 53.60798)
dpd,POINT (22.62542 54.17912)
dpd,POINT (20.71686 52.13093)
dpd,POINT (19.29535 53.06921999999999)
dpd,POINT (21.67295 50.49310999999999)
dpd,POINT (16.99071 52.93629)
dpd,POINT (18.80081 52.92879)
dpd,POINT (20.04101 50.07435)
dpd,POINT (17.60801 53.24769000000001)
dpd,POINT (19.9638 53.7029)
dpd,POINT (20.24048 53.92668)
dpd,POINT (20.39165 53.98737)
dpd,POINT (20.3911 53.98342)
dpd,POINT (23.48143 51.12703)
dpd,POINT (17.41246 54.4181)
dpd,POINT (16.82931 52.0585)
dpd,POINT (17.98056 51.27828)
dpd,POINT (17.33553 54.11275999999999)
dpd,POINT (18.82069 50.29922)
dpd,POINT (20.94221 52.24644)
dpd,POINT (18.87047 50.15633)
dpd,POINT (22.08594 53.16646)
dpd,POINT (16.73859 53.0497)
dpd,POINT (23.12556 53.10671)
dpd,POINT (23.12942 52.03673)
dpd,POINT (16.5964 51.8295)
dpd,POINT (20.8593 51.1126)
dpd,POINT (17.81624 53.06372)
dpd,POINT (18.62967 52.20151)
dpd,POINT (17.79181 51.65528)
dpd,POINT (18.2163 50.973)
dpd,POINT (18.99978 51.57929)
dpd,POINT (21.80811 53.63066)
dpd,POINT (18.78163 54.09289)
dpd,POINT (19.13206 50.26826)
dpd,POINT (17.93051 51.42562)
dpd,POINT (19.06144 50.22396)
dpd,POINT (18.48882 52.98542)
dpd,POINT (18.10782 53.09574)
dpd,POINT (15.25177 52.74858)
dpd,POINT (21.15396 52.30127)
dpd,POINT (20.94337 49.62575)
dpd,POINT (20.4877 53.7372)
dpd,POINT (18.6377 54.2635)
dpd,POINT (19.06939 53.32858)
dpd,POINT (19.47733 51.74267)
dpd,POINT (19.33931 49.85385)
dpd,POINT (16.9466 52.3815)
dpd,POINT (19.46842 51.86976)
dpd,POINT (20.24029 52.21391)
dpd,POINT (18.5957 54.3556)
dpd,POINT (20.9824 52.1977)
dpd,POINT (14.50085 53.42465)
dpd,POINT (14.55206 53.4548)
dpd,POINT (20.7193 52.39579000000001)
dpd,POINT (20.88084 52.20497)
dpd,POINT (19.70194 52.55419000000001)
dpd,POINT (16.75406 52.51104)
dpd,POINT (21.0585 52.30499)
dpd,POINT (16.9149 52.45254)
dpd,POINT (16.9297 52.4425)
dpd,POINT (16.0691 51.5032)
dpd,POINT (20.9647 52.20385)
dpd,POINT (17.09537 52.23152)
dpd,POINT (19.20325 49.69019)
dpd,POINT (16.80323 52.64715)
dpd,POINT (16.56836 51.84085)
dpd,POINT (21.97422 50.02522)
dpd,POINT (23.26209 50.71405)
dpd,POINT (17.00163 52.75329)
dpd,POINT (16.99547 52.75193)
dpd,POINT (22.0101 50.06441)
dpd,POINT (16.95753 52.29055)
dpd,POINT (17.97731 54.12358)
