grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
60311,"POLYGON ((16.79477443102478 52.37220209792492, 16.78014605025699 52.37303911117073, 16.78151825980876 52.3819809107525, 16.79614955760231 52.38114370408802, 16.79477443102478 52.37220209792492))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
60321,"POLYGON ((16.8085563847429 52.46161673284871, 16.79389877064568 52.46245568624554, 16.79527779559584 52.47139717075144, 16.80993834021741 52.47055802349863, 16.8085563847429 52.46161673284871))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,8,3,4,6,0,3,0,0,5,3,150.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0
60336,"POLYGON ((16.80303540992522 52.42585125764033, 16.78838950599863 52.42668943338483, 16.78976579910447 52.43563104398793, 16.80441462762808 52.43479267311448, 16.80303540992522 52.42585125764033))",1.0,0.0,0.0,2.0,0.0,0.0,0.0,1596,253,1145,198,747,849,129,530,88,124,615,110,113.65461847,158.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,21.0,0.0
60380,"POLYGON ((16.7989018536994 52.39902682031254, 16.78426471736275 52.39986441420607, 16.7856389663633 52.40880611893736, 16.80027902279491 52.40796833030735, 16.7989018536994 52.39902682031254))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,313,62,227,24,158,155,32,113,13,30,114,11,98.10126582,43.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,11.0,0.0
60393,"POLYGON ((16.80717511522451 52.45267541120138, 16.79252043019082 52.4535141699749, 16.79389877064568 52.46245568624554, 16.8085563847429 52.46161673284871, 16.80717511522451 52.45267541120138))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,6,3,4,4,0,4,0,0,3,3,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60409,"POLYGON ((16.80441462762808 52.43479267311448, 16.78976579910447 52.43563104398793, 16.79114277366061 52.44457262285785, 16.80579452970957 52.44373405765052, 16.80441462762808 52.43479267311448))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056,182,730,144,504,552,90,352,62,92,378,82,109.52380952,41.0,0.0,1.0,5.0,6.0,0.0,2.0,10.0,38.0,0.0
60425,"POLYGON ((16.81132098074808 52.47949928220544, 16.79665750400582 52.48033862524268, 16.7980378965362 52.48928004700364, 16.81270430828922 52.48844050987523, 16.81132098074808 52.47949928220544))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,7,50,4,28,33,0,24,0,5,26,0,117.85714285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60461,"POLYGON ((16.80993834021741 52.47055802349863, 16.79527779559584 52.47139717075144, 16.79665750400582 52.48033862524268, 16.81132098074808 52.47949928220544, 16.80993834021741 52.47055802349863))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,213,30,155,28,102,111,14,75,13,16,80,15,108.82352941,0.0,0.0,0.0,9.0,0.0,20.0,0.0,1.0,12.0,0.0
60635,"POLYGON ((16.80579452970957 52.44373405765052, 16.79114277366061 52.44457262285785, 16.79252043019082 52.4535141699749, 16.80717511522451 52.45267541120138, 16.80579452970957 52.44373405765052))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,3,37,3,19,22,0,19,0,0,18,3,115.78947368,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
60732,"POLYGON ((16.82182928561053 52.45183485016755, 16.80717511522451 52.45267541120138, 16.8085563847429 52.46161673284871, 16.82321348516264 52.46077597754937, 16.82182928561053 52.45183485016755))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5,18,3,14,11,3,10,0,3,8,0,78.57142857,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0
60733,"POLYGON ((16.82459837074965 52.46971707287657, 16.80993834021741 52.47055802349863, 16.81132098074808 52.47949928220544, 16.82598394432633 52.47865813705496, 16.82459837074965 52.46971707287657))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,3,1,3,3,0,3,0,3,0,0,100.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0
60762,"POLYGON ((16.82321348516264 52.46077597754937, 16.8085563847429 52.46161673284871, 16.80993834021741 52.47055802349863, 16.82459837074965 52.46971707287657, 16.82321348516264 52.46077597754937))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
60830,"POLYGON ((16.80940230274792 52.3713632866512, 16.79477443102478 52.37220209792492, 16.79614955760231 52.38114370408802, 16.81078034589876 52.38030469882928, 16.80940230274792 52.3713632866512))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,42,107,4,72,81,23,49,0,19,58,4,112.5,0.0,0.0,0.0,1.0,3.0,2.0,1.0,7.0,7.0,0.0
60831,"POLYGON ((16.81215907040298 52.38924607823204, 16.79752536550581 52.39008527763379, 16.7989018536994 52.39902682031254, 16.81353847816364 52.39818742666431, 16.81215907040298 52.38924607823204))",1.0,0.0,0.0,5.0,1.0,0.0,0.0,691,113,543,35,335,356,58,259,18,55,284,17,106.26865671,0.0,1.0,0.0,2.0,2.0,0.0,11.0,18.0,26.0,0.0
60871,"POLYGON ((16.81768080208593 52.4250112804671, 16.80303540992522 52.42585125764033, 16.80441462762808 52.43479267311448, 16.81906294531167 52.43395250206947, 16.81768080208593 52.4250112804671))",0.0,0.0,0.0,0.0,1.0,0.0,0.0,435,65,319,51,222,213,37,164,21,28,155,30,95.94594594,1.0,0.0,0.0,5.0,0.0,0.0,2.0,9.0,13.0,0.0
60872,"POLYGON ((16.81906294531167 52.43395250206947, 16.80441462762808 52.43479267311448, 16.80579452970957 52.44373405765052, 16.82044577299272 52.44289369167667, 16.81906294531167 52.43395250206947))",1.0,0.0,0.0,1.0,2.0,0.0,0.0,1043,194,749,100,485,558,98,344,43,96,405,57,115.05154639,54.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,8.0,0.0
