grid_index,geometry,dhl,dpd,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,city,buildings_binary,shops_binary,parks_binary,schools_binary,railways_binary,cycleways_binary,totlog,tot_0_14log,tot_15_64log,tot_65__log,tot_malelog,tot_femlog,male_0_14log,male_15_64log,male_65__log,fem_0_14log,fem_15_64log,fem_65__log
207078,"POLYGON ((20.8968997564966 52.30972885488806, 20.88237716995884 52.31106932077907, 20.8845716342306 52.31994016819216, 20.89909703765856 52.31859939451008, 20.8968997564966 52.30972885488806))",0.0,0.0,0.0,0.0,0.0,0.0,75,11,53,11,28,47,3,22,4,9,31,7,167.85714285,0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,more_cycleways,4.330733340286331,2.4849066497880004,3.9889840465642745,2.4849066497880004,3.367295829986474,3.871201010907891,1.3862943611198906,3.1354942159291497,1.6094379124341003,2.302585092994046,3.4657359027997265,2.0794415416798357
207094,"POLYGON ((20.86843282681146 52.19440581310215, 20.85394674013865 52.19574229917577, 20.85612728028819 52.20461400442348, 20.87061616594652 52.20327721389263, 20.86843282681146 52.19440581310215))",1.0,0.0,2.0,1.0,0.0,0.0,5917,1245,3876,796,2740,3177,614,1790,336,631,2086,460,115.9489051,7,1.0,3.0,11.0,8.0,0.0,17.0,60.0,49.0,Warszawa,more_buildings,more_shops,more_parks,more_schools,few_railways,more_cycleways,8.685753832960154,7.1276936993473985,8.262816937670928,6.680854678790215,7.916078096302786,8.064007347096661,6.421622267806518,7.490529402060711,5.820082930352362,6.448889394146858,7.643482907077201,6.133398042996649
207110,"POLYGON ((20.87498605131241 52.22101981652778, 20.86049156070564 52.22235721837721, 20.86267530245578 52.23122872519174, 20.87717259617578 52.22989101832488, 20.87498605131241 52.22101981652778))",0.0,0.0,0.0,0.0,0.0,0.0,625,98,478,49,316,309,51,246,19,47,232,30,97.78481012,0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,Warszawa,few_buildings,few_shops,few_parks,more_schools,few_railways,few_cycleways,6.439350371100098,4.59511985013459,6.171700597410915,3.912023005428146,5.75890177387728,5.736572297479192,3.9512437185814275,5.5093883366279774,2.995732273553991,3.871201010907891,5.4510384535657,3.4339872044851463
207121,"POLYGON ((20.87061616594652 52.20327721389263, 20.85612728028819 52.20461400442348, 20.85830888639662 52.21348564418059, 20.87280057384098 52.21214854808392, 20.87061616594652 52.20327721389263))",0.0,0.0,0.0,0.0,0.0,0.0,685,88,478,119,320,365,40,228,52,48,250,67,114.0625,1,0.0,1.0,14.0,2.0,16.0,5.0,6.0,18.0,Warszawa,more_buildings,few_shops,more_parks,more_schools,more_railways,more_cycleways,6.530877627725885,4.48863636973214,6.171700597410915,4.787491742782046,5.771441123130016,5.902633333401366,3.713572066704308,5.43372200355424,3.970291913552122,3.8918202981106265,5.5254529391317835,4.219507705176107
207149,"POLYGON ((20.89250842500603 52.29198757603795, 20.87799146666601 52.29332742783289, 20.88018378103267 52.3021984073102, 20.89470355202717 52.30085824812348, 20.89250842500603 52.29198757603795))",0.0,0.0,2.0,0.0,0.0,0.0,888,124,652,112,427,461,61,323,43,63,329,69,107.96252927,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,few_cycleways,6.790097235513905,4.8283137373023015,6.481577129276431,4.727387818712341,6.059123195581797,6.135564891081739,4.127134385045092,5.780743515792329,3.784189633918261,4.1588830833596715,5.799092654460526,4.248495242049359
207150,"POLYGON ((20.89470355202717 52.30085824812348, 20.88018378103267 52.3021984073102, 20.88237716995884 52.31106932077907, 20.8968997564966 52.30972885488806, 20.89470355202717 52.30085824812348))",0.0,0.0,0.0,0.0,0.0,0.0,204,24,137,43,94,110,13,67,14,11,70,29,117.02127659,0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,2.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,few_cycleways,5.3230099791384085,3.2188758248682006,4.927253685157205,3.784189633918261,4.553876891600541,4.709530201312334,2.6390573296152584,4.219507705176107,2.70805020110221,2.4849066497880004,4.2626798770413155,3.4011973816621555
207175,"POLYGON ((20.87717259617578 52.22989101832488, 20.86267530245578 52.23122872519174, 20.86486011400347 52.24010016725067, 20.87936021213869 52.23876215338165, 20.87717259617578 52.22989101832488))",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,few_cycleways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207190,"POLYGON ((20.89031437167662 52.28311683782704, 20.87580022757719 52.28445638326996, 20.87799146666601 52.29332742783289, 20.89250842500603 52.29198757603795, 20.89031437167662 52.28311683782704))",1.0,0.0,0.0,1.0,0.0,0.0,521,102,358,61,262,259,47,185,30,55,173,31,98.85496183,0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,14.0,Warszawa,few_buildings,few_shops,few_parks,more_schools,more_railways,more_cycleways,6.257667587882639,4.634728988229636,5.883322388488279,4.127134385045092,5.572154032177765,5.560681631015528,3.871201010907891,5.225746673713202,3.4339872044851463,4.02535169073515,5.159055299214529,3.4657359027997265
207191,"POLYGON ((20.89909703765856 52.31859939451008, 20.8845716342306 52.31994016819216, 20.8867671745964 52.32881094860331, 20.90129539780605 52.3274698678173, 20.89909703765856 52.31859939451008))",1.0,0.0,0.0,1.0,1.0,0.0,1052,166,765,121,527,525,99,369,59,67,396,62,99.62049335,0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,12.0,Warszawa,few_buildings,few_shops,few_parks,more_schools,few_railways,more_cycleways,6.959398512133975,5.117993812416755,6.641182169740591,4.804021044733257,6.269096283706261,6.26530121273771,4.605170185988092,5.91350300563827,4.0943445622221,4.219507705176107,5.983936280687191,4.143134726391533
207202,"POLYGON ((20.88373865767594 52.25650422582861, 20.86923294499641 52.25784285158997, 20.87142096750687 52.26671409465191, 20.88592948881526 52.2653751631245, 20.88373865767594 52.25650422582861))",0.0,0.0,0.0,0.0,0.0,0.0,69,7,59,3,42,27,5,36,3,0,23,3,64.28571428,0,0.0,0.0,1.0,0.0,2.0,16.0,2.0,4.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,more_railways,more_cycleways,4.248495242049359,2.0794415416798357,4.0943445622221,1.3862943611198906,3.7612001156935624,3.332204510175204,1.791759469228055,3.6109179126442243,1.3862943611198906,0.0,3.1780538303479458,1.3862943611198906
207259,"POLYGON ((20.88154890002095 52.24763322254971, 20.86704599459008 52.24897154273242, 20.86923294499641 52.25784285158997, 20.88373865767594 52.25650422582861, 20.88154890002095 52.24763322254971))",0.0,0.0,0.0,0.0,0.0,0.0,1609,214,980,415,732,877,103,438,191,111,542,224,119.80874316,0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,26.0,Warszawa,few_buildings,few_shops,few_parks,more_schools,more_railways,more_cycleways,7.383989457978509,5.3706380281276624,6.8885724595653635,6.030685260261263,6.597145701886651,6.777646593635117,4.6443908991413725,6.0844994130751715,5.2574953720277815,4.718498871295094,6.297109319933935,5.41610040220442
207301,"POLYGON ((20.88592948881526 52.2653751631245, 20.87142096750687 52.26671409465191, 20.87361006143941 52.27558527189428, 20.88812139418488 52.27424603349116, 20.88592948881526 52.2653751631245))",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,more_railways,few_cycleways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207355,"POLYGON ((20.86625055419452 52.18553434578261, 20.85176726655831 52.18687052666358, 20.85394674013865 52.19574229917577, 20.86843282681146 52.19440581310215, 20.86625055419452 52.18553434578261))",1.0,0.0,3.0,2.0,1.0,0.0,5944,791,4097,1056,2806,3138,403,1930,473,388,2167,583,111.83178902,4,1.0,1.0,0.0,11.0,13.0,23.0,14.0,32.0,Warszawa,more_buildings,more_shops,more_parks,more_schools,more_railways,more_cycleways,8.690305809124883,6.674561391814426,8.318254328798846,6.963189985870238,7.939871576361883,8.051659556841953,6.0014148779611505,7.565793282428515,6.161207321695077,5.963579343618446,7.681560362559537,6.369900982828227
207560,"POLYGON ((20.89605100205896 52.24629313360962, 20.88154890002095 52.24763322254971, 20.88373865767594 52.25650422582861, 20.89824356771174 52.25516382984824, 20.89605100205896 52.24629313360962))",0.0,0.0,1.0,1.0,0.0,0.0,1398,233,959,206,659,739,113,465,81,120,494,125,112.13960546,106,0.0,1.0,16.0,1.0,2.0,49.0,48.0,24.0,Warszawa,more_buildings,few_shops,more_parks,more_schools,more_railways,more_cycleways,7.243512974665482,5.455321115357702,6.866933284461882,5.332718793265369,6.492239835020471,6.606650186198215,4.736198448394496,6.144185634125646,4.406719247264253,4.795790545596741,6.20455776256869,4.836281906951478
207573,"POLYGON ((20.89824356771174 52.25516382984824, 20.88373865767594 52.25650422582861, 20.88592948881526 52.2653751631245, 20.90043720676399 52.26403445993974, 20.89824356771174 52.25516382984824))",0.0,0.0,2.0,0.0,0.0,0.0,1869,236,1210,423,838,1031,111,572,155,125,638,268,123.03102625,31,0.0,2.0,19.0,2.0,6.0,23.0,24.0,54.0,Warszawa,more_buildings,few_shops,more_parks,more_schools,more_railways,more_cycleways,7.533693709848633,5.4680601411351315,7.099201743553092,6.049733455231958,6.732210706467206,6.939253946041508,4.718498871295094,6.35088571671474,5.049856007249537,4.836281906951478,6.459904454377535,5.594711379601839
207626,"POLYGON ((20.88073304162547 52.1841963981407, 20.86625055419452 52.18553434578261, 20.86843282681146 52.19440581310215, 20.88291811260529 52.19306755972936, 20.88073304162547 52.1841963981407))",2.0,0.0,0.0,1.0,0.0,0.0,4489,612,3207,670,2154,2335,307,1545,302,305,1662,368,108.40297121,0,0.0,0.0,0.0,5.0,4.0,7.0,9.0,42.0,Warszawa,few_buildings,few_shops,few_parks,more_schools,more_railways,more_cycleways,8.4096079807363,6.418364935936212,8.073402968986406,6.508769136971682,7.675546002537848,7.756195343948118,5.730099782973574,7.343426229147367,5.713732805509369,5.723585101952381,7.416378479192928,5.910796644040527
207627,"POLYGON ((20.88291811260529 52.19306755972936, 20.86843282681146 52.19440581310215, 20.87061616594652 52.20327721389263, 20.8851042529399 52.20193865457892, 20.88291811260529 52.19306755972936))",2.0,1.0,6.0,2.0,0.0,2.0,7448,999,5568,881,3609,3839,524,2699,386,475,2869,495,106.37295649,1,0.0,5.0,29.0,11.0,8.0,24.0,80.0,91.0,Warszawa,more_buildings,few_shops,more_parks,more_schools,more_railways,more_cycleways,8.915835074176277,6.907755278982137,8.624970783589669,6.782192056006791,8.191463051326927,8.253227645581772,6.263398262591624,7.90100705199242,5.958424693029782,6.16541785423142,7.962067308753666,6.206575926724928
207628,"POLYGON ((20.92022840411714 52.34386714789994, 20.90569535095457 52.34521061721284, 20.90789694846931 52.35408089315868, 20.92243282192056 52.35273711478404, 20.92022840411714 52.34386714789994))",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,few_cycleways,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207657,"POLYGON ((20.89385950898396 52.23742237037231, 20.87936021213869 52.23876215338165, 20.88154890002095 52.24763322254971, 20.89605100205896 52.24629313360962, 20.89385950898396 52.23742237037231))",0.0,0.0,2.0,0.0,0.0,0.0,1531,231,1141,159,716,815,109,551,56,122,590,103,113.82681564,4,0.0,0.0,4.0,1.0,3.0,3.0,3.0,21.0,Warszawa,more_buildings,few_shops,few_parks,more_schools,more_railways,more_cycleways,7.3343293503005365,5.44673737166631,7.040536390215956,5.075173815233827,6.57507584059962,6.704414354964107,4.700480365792417,6.313548046277095,4.04305126783455,4.812184355372417,6.3818160174060985,4.6443908991413725
207680,"POLYGON ((20.88947973901587 52.21968064576365, 20.87498605131241 52.22101981652778, 20.87717259617578 52.22989101832488, 20.8916690892062 52.22855154105893, 20.88947973901587 52.21968064576365))",1.0,0.0,0.0,1.0,0.0,0.0,121,21,88,12,57,64,10,41,6,11,47,6,112.28070175,8,0.0,0.0,10.0,3.0,0.0,0.0,30.0,11.0,Warszawa,more_buildings,few_shops,few_parks,more_schools,few_railways,few_cycleways,4.804021044733257,3.091042453358316,4.48863636973214,2.5649493574615367,4.060443010546419,4.174387269895637,2.3978952727983707,3.7376696182833684,1.9459101490553132,2.4849066497880004,3.871201010907891,1.9459101490553132
207681,"POLYGON ((20.90482771113514 52.28177552144462, 20.89031437167662 52.28311683782704, 20.89250842500603 52.29198757603795, 20.90702457509408 52.29064595281046, 20.90482771113514 52.28177552144462))",1.0,0.0,1.0,1.0,0.0,0.0,815,144,577,94,408,407,87,287,34,57,290,60,99.75490196,0,0.0,0.0,7.0,0.0,11.0,0.0,3.0,25.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,more_railways,few_cycleways,6.704414354964107,4.976733742420574,6.359573868672378,4.553876891600541,6.013715156042802,6.0112671744041615,4.477336814478207,5.662960480135946,3.5553480614894135,4.060443010546419,5.673323267171493,4.110873864173311
207701,"POLYGON ((20.88729146052085 52.21080968358793, 20.87280057384098 52.21214854808392, 20.87498605131241 52.22101981652778, 20.88947973901587 52.21968064576365, 20.88729146052085 52.21080968358793))",0.0,1.0,1.0,0.0,0.0,0.0,136,14,100,22,71,65,8,54,9,6,46,13,91.54929577,0,0.0,0.0,7.0,0.0,11.0,23.0,11.0,36.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,more_railways,more_cycleways,4.919980925828125,2.70805020110221,4.61512051684126,3.1354942159291497,4.276666119016055,4.189654742026425,2.1972245773362196,4.007333185232471,2.302585092994046,1.9459101490553132,3.8501476017100584,2.6390573296152584
207702,"POLYGON ((20.8916690892062 52.22855154105893, 20.87717259617578 52.22989101832488, 20.87936021213869 52.23876215338165, 20.89385950898396 52.23742237037231, 20.8916690892062 52.22855154105893))",1.0,1.0,1.0,1.0,0.0,0.0,509,93,406,10,250,259,45,201,4,48,205,6,103.6,9,0.0,1.0,14.0,11.0,0.0,5.0,55.0,20.0,Warszawa,more_buildings,few_shops,more_parks,more_schools,few_railways,more_cycleways,6.234410725718371,4.543294782270004,6.008813185442595,2.3978952727983707,5.5254529391317835,5.560681631015528,3.828641396489095,5.308267697401205,1.6094379124341003,3.8918202981106265,5.327876168789581,1.9459101490553132
207723,"POLYGON ((20.90043720676399 52.26403445993974, 20.88592948881526 52.2653751631245, 20.88812139418488 52.27424603349116, 20.90263192146504 52.27290502381315, 20.90043720676399 52.26403445993974))",0.0,0.0,0.0,0.0,0.0,0.0,120,12,85,23,50,70,6,35,9,6,50,14,140.0,0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,few_cycleways,4.795790545596741,2.5649493574615367,4.454347296253507,3.1780538303479458,3.9318256327243257,4.2626798770413155,1.9459101490553132,3.58351893845611,2.302585092994046,1.9459101490553132,3.9318256327243257,2.70805020110221
207736,"POLYGON ((20.92243282192056 52.35273711478404, 20.90789694846931 52.35408089315868, 20.9100996251929 52.36295110264664, 20.92463832329668 52.36160701587271, 20.92243282192056 52.35273711478404))",0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,3,0,0.0,1,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,Warszawa,more_buildings,few_shops,few_parks,few_schools,few_railways,few_cycleways,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0
207765,"POLYGON ((20.91362163522848 52.31725684860228, 20.89909703765856 52.31859939451008, 20.90129539780605 52.3274698678173, 20.91582281154201 52.32612701431196, 20.91362163522848 52.31725684860228))",0.0,0.0,1.0,0.0,0.0,0.0,643,89,458,96,315,328,49,228,38,40,230,58,104.12698412,0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,10.0,Warszawa,few_buildings,few_shops,few_parks,few_schools,few_railways,more_cycleways,6.467698726104354,4.499809670330265,6.129050210060545,4.574710978503383,5.755742213586912,5.796057750765372,3.912023005428146,5.43372200355424,3.6635616461296463,3.713572066704308,5.442417710521793,4.07753744390572
