grid_index,geometry,dhl,dpd,fedex,inpost,poczta,ruch,ups,tot,tot_0_14,tot_15_64,tot_65__,tot_male,tot_fem,male_0_14,male_15_64,male_65__,fem_0_14,fem_15_64,fem_65__,fem_ratio,buildings,shops,parks,forests,schools,railways,cycleways,parkings,crossings,bus_stops
184454,"POLYGON ((19.81458560072296 50.02250936454971, 19.80073545783053 50.02370852981394, 19.80257326924981 50.03260760378561, 19.81642592991907 50.03140818144465, 19.81458560072296 50.02250936454971))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,25,151,15,84,107,12,66,6,13,85,9,127.38095238,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0
184483,"POLYGON ((19.8182671162467 50.04030693218928, 19.80441193660119 50.04150661176229, 19.80625146048282 50.05040555370963, 19.82010916032004 50.0492056176487, 19.8182671162467 50.04030693218928))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,442,68,323,51,214,228,33,165,16,35,158,35,106.54205607,3.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,5.0,0.0
184532,"POLYGON ((19.81642592991907 50.03140818144465, 19.80257326924981 50.03260760378561, 19.80441193660119 50.04150661176229, 19.8182671162467 50.04030693218928, 19.81642592991907 50.03140818144465))",1.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5,40,5,21,29,0,18,3,4,22,3,138.09523809,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0
184548,"POLYGON ((19.8072328432495 49.98691343345757, 19.79339275810482 49.98811157287554, 19.79522715178124 49.99701091138301, 19.80906974991273 49.9958125155087, 19.8072328432495 49.98691343345757))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,16,55,13,39,45,9,27,3,7,28,10,115.38461538,25.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0
184576,"POLYGON ((19.82010916032004 50.0492056176487, 19.80625146048282 50.05040555370963, 19.80809184011111 50.05930443050242, 19.82195206270785 50.0581042359892, 19.82010916032004 50.0492056176487))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0
184577,"POLYGON ((19.82379582264318 50.06700278898526, 19.80993307884954 50.06820324028763, 19.81177517593096 50.07710198483958, 19.82564044210821 50.07590127569284, 19.82379582264318 50.06700278898526))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,4,0,5,5,0,3,3,3,0,3,100.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,1.0,0.0,0.0
184633,"POLYGON ((19.82748592170383 50.08479969607731, 19.81361813052715 50.0860006623344, 19.81546194468219 50.09489927542649, 19.82933226203158 50.09369805010401, 19.82748592170383 50.08479969607731))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,538,76,407,55,262,276,41,195,26,35,212,29,105.34351145,11.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0
184650,"POLYGON ((19.81274612804485 50.0136104806394, 19.79889850174573 50.01480938988173, 19.80073545783053 50.02370852981394, 19.81458560072296 50.02250936454971, 19.81274612804485 50.0136104806394))",1.0,0.0,0.0,0.0,2.0,0.0,0.0,743,112,531,100,354,389,62,257,35,50,274,65,109.88700564,6.0,0.0,1.0,28.0,4.0,0.0,0.0,6.0,0.0,0.0
184837,"POLYGON ((19.82291171365792 49.99461243931233, 19.80906974991273 49.9958125155087, 19.81090751131731 50.00471153154731, 19.82475198872393 50.0035111982379, 19.82291171365792 49.99461243931233))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,16,88,14,49,69,4,42,3,12,46,11,140.81632653,8.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0
184838,"POLYGON ((19.8358116472711 50.05690235853763, 19.82195206270785 50.0581042359892, 19.82379582264318 50.06700278898526, 19.83765792926064 50.06580065333227, 19.8358116472711 50.05690235853763))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,110,449,56,302,313,56,225,21,54,224,35,103.6423841,32.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0
184866,"POLYGON ((19.82475198872393 50.0035111982379, 19.81090751131731 50.00471153154731, 19.81274612804485 50.0136104806394, 19.82659312030943 50.01240989006168, 19.82475198872393 50.0035111982379))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,557,73,418,66,278,279,34,218,26,39,200,40,100.35971223,19.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0
184880,"POLYGON ((19.82843510904328 50.02130851654842, 19.81458560072296 50.02250936454971, 19.81642592991907 50.03140818144465, 19.83027795550862 50.03020707676391, 19.82843510904328 50.02130851654842))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,8,28,7,21,22,3,15,3,5,13,4,104.76190476,0.0,0.0,0.0,58.0,0.0,0.0,4.0,1.0,0.0,0.0
184907,"POLYGON ((19.82659312030943 50.01240989006168, 19.81274612804485 50.0136104806394, 19.81458560072296 50.02250936454971, 19.82843510904328 50.02130851654842, 19.82659312030943 50.01240989006168))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,413,65,302,46,199,214,36,143,20,29,159,26,107.53768844,14.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,2.0,0.0
185002,"POLYGON ((19.83027795550862 50.03020707676391, 19.81642592991907 50.03140818144465, 19.8182671162467 50.04030693218928, 19.83212166028894 50.03910556977404, 19.83027795550862 50.03020707676391))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,17,73,12,44,58,9,30,5,8,43,7,131.81818181,0.0,0.0,0.0,21.0,1.0,0.0,12.0,6.0,5.0,0.0
185099,"POLYGON ((19.8339662240149 50.04800399734336, 19.82010916032004 50.0492056176487, 19.82195206270785 50.0581042359892, 19.8358116472711 50.05690235853763, 19.8339662240149 50.04800399734336))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,4,42,8,26,28,0,23,3,0,19,7,107.69230769,6.0,0.0,0.0,29.0,0.0,0.0,0.0,4.0,0.0,0.0
185123,"POLYGON ((19.82107229311884 49.9857136133294, 19.8072328432495 49.98691343345757, 19.80906974991273 49.9958125155087, 19.82291171365792 49.99461243931233, 19.82107229311884 49.9857136133294))",0.0,0.0,0.0,1.0,0.0,0.0,0.0,402,72,294,36,196,206,37,147,12,35,147,24,105.10204081,48.0,0.0,0.0,9.0,0.0,0.0,4.0,1.0,1.0,0.0
185138,"POLYGON ((19.84135307605159 50.08359704445336, 19.82748592170383 50.08479969607731, 19.82933226203158 50.09369805010401, 19.8432019406587 50.09249514072046, 19.84135307605159 50.08359704445336))",0.0,0.0,0.0,0.0,1.0,0.0,0.0,303,51,229,23,154,149,33,109,12,18,120,11,96.75324675,1.0,0.0,0.0,15.0,0.0,3.0,0.0,1.0,3.0,0.0
185195,"POLYGON ((19.83765792926064 50.06580065333227, 19.82379582264318 50.06700278898526, 19.82564044210821 50.07590127569284, 19.83950507198166 50.07469888168257, 19.83765792926064 50.06580065333227))",0.0,0.0,0.0,0.0,0.0,1.0,0.0,816,107,609,100,410,406,62,314,34,45,295,66,99.02439024,6.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0
185210,"POLYGON ((19.83950507198166 50.07469888168257, 19.82564044210821 50.07590127569284, 19.82748592170383 50.08479969607731, 19.84135307605159 50.08359704445336, 19.83950507198166 50.07469888168257))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,20,60,10,41,49,10,28,3,10,32,7,119.51219512,7.0,0.0,0.0,13.0,0.0,7.0,0.0,1.0,4.0,0.0
185234,"POLYGON ((19.83212166028894 50.03910556977404, 19.8182671162467 50.04030693218928, 19.82010916032004 50.0492056176487, 19.8339662240149 50.04800399734336, 19.83212166028894 50.03910556977404))",0.0,0.0,0.0,1.0,1.0,0.0,0.0,1637,222,1197,218,792,845,111,591,90,111,606,128,106.69191919,3.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,7.0,0.0
185541,"POLYGON ((19.84412934475581 50.02900428903171, 19.83027795550862 50.03020707676391, 19.83212166028894 50.03910556977404, 19.8459755674803 50.03790252470457, 19.84412934475581 50.02900428903171))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,11,36,7,25,29,4,17,4,7,19,3,116.0,1.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,2.0,0.0
185552,"POLYGON ((19.85521958953893 50.08239270857086, 19.84135307605159 50.08359704445336, 19.8432019406587 50.09249514072046, 19.85707097929686 50.09129054656507, 19.85521958953893 50.08239270857086))",1.0,0.0,0.0,3.0,1.0,0.0,0.0,1422,294,1031,97,681,741,153,484,44,141,547,53,108.81057268,11.0,0.0,0.0,7.0,3.0,19.0,0.0,10.0,12.0,0.0
185566,"POLYGON ((19.83859582994657 50.00230918249348, 19.82475198872393 50.0035111982379, 19.82659312030943 50.01240989006168, 19.84043947729413 50.01120761833626, 19.83859582994657 50.00230918249348))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,11,3,11,7,4,6,3,0,5,0,63.63636363,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
